Best romantic vacation ever!!!!	Translation	Positive	Negative	EmotionRationale
Buffet food	Buffet food	1	-1	 Buffet[0] food[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Hotel with Personality!	Hotel with Personality!	1	-1	 Hotel[0] with[0] Personality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
What a great experience!	What a great experience!	3	-1	 What[0] a[0] great[2] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great hotel!	Great hotel!	3	-1	 Great[2] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Friendly, helpful staff and comfortable rooms!	Friendly, helpful staff and comfortable rooms!	2	-1	 Friendly[1] helpful[1] staff[0] and[0] comfortable[1] rooms[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
As Local As You Can Get	As Local As You Can Get	1	-1	 As[0] Local[0] As[0] You[0] Can[0] Get[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Value for Money	Value for Money	2	-1	 Value[1] for[0] Money[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Never again!	Never again!	1	-1	 Never[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Excellent	Excellent	4	-1	 Excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
The staff at the place is extremely friendly.	The staff at the place is extremely friendly.	4	-1	 The[0] staff[0] at[0] the[0] place[0] is[0] extremely[0] friendly[1][2 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Non-smoker had to sleep in a smoking room	Non-smoker had to sleep in a smoking room	1	-1	 Non[0] smoker[0] had[0] to[0] sleep[0] in[0] a[0] smoking[0] room[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
EVERYTHING WORK OUT JUST FINE	EVERYTHING WORK OUT JUST FINE	2	-1	 EVERYTHING[0] WORK[0] OUT[0] JUST[0] FINE[2][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great stay. Little pricey for the location. No post season MLB access in my room!!! Dodgers and Cubs	Great stay.<br> Little pricey for the location.<br> No post season MLB access in my room!<br> Dodgers and Cubs	3	-1	 Great[2] stay[0] [[Sentence=-1,3=word max, 1-5]] Little[0] pricey[0] for[0] the[0] location[0] [[Sentence=-1,1=word max, 1-5]] No[0] post[0] season[0] MLB[0] access[0] in[0] my[0] room[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,2=word max, 1-5]] Dodgers[0] and[0] Cubs[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
Best gambling in Vegas and best comps!	Best gambling in Vegas and best comps!	2	-1	 Best[1] gambling[0] in[0] Vegas[0] and[0] best[1] comps[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
I absolutely loved it and will definitely be back in the near future!	I absolutely loved it and will definitely be back in the near future!	5	-1	 I[0] absolutely[0] loved[3][1 LastWordBoosterStrength] it[0] and[0] will[0] definitely[0] be[0] back[0] in[0] the[0] near[0] future[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
NIGHT MARE!!!	NIGHT MARE!	2	-1	 NIGHT[0] MARE[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Cheap and this is it	Cheap and this is it	1	-2	 Cheap[-1] and[0] this[0] is[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Need the minimum for an inexpensive price - this is the deal for you!	Need the minimum for an inexpensive price - this is the deal for you!	1	-1	 Need[0] the[0] minimum[0] for[0] an[0] inexpensive[0] price[0] this[0] is[0] the[0] deal[0] for[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
We'll be back.	We'll be back.	1	-1	 We'll[0] be[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
We'll be back again	We'll be back again	1	-1	 We'll[0] be[0] back[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Definitely coming back!	Definitely coming back!	1	-1	 Definitely[0] coming[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Bed bug city	Bed bug city	1	-2	 Bed[0] bug[-1] city[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
It's my favorite place go I've booked for November for my birthday this year.	It's my favorite place go I've booked for November for my birthday this year.	2	-1	 It's[0] my[0] favorite[1] place[0] go[0] I've[0] booked[0] for[0] November[0] for[0] my[0] birthday[0] this[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the location	the location	1	-1	 the[0] location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Very satisfied	Very satisfied	3	-1	 Very[0] satisfied[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Its was alright for what it was worth.	Its was alright for what it was worth.	1	-1	 Its[0] was[0] alright[0] for[0] what[0] it[0] was[0] worth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Location, beds, price	Location, beds, price	1	-1	 Location[0] beds[0] price[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Pro: Cheap Con: everything else	Pro: Cheap Con: everything else	1	-2	 Pro[0] Cheap[-1] Con[0] everything[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Take a gamble	Take a gamble	1	-2	 Take[0] a[0] gamble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
It met all of our needs and had a great time in and around the surrounding casino's	It met all of our needs and had a great time in and around the surrounding casino's	3	-1	 It[0] met[0] all[0] of[0] our[0] needs[0] and[0] had[0] a[0] great[2] time[0] in[0] and[0] around[0] the[0] surrounding[0] casino's[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Location	Location	1	-1	 Location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great	Great	3	-1	 Great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
excellent value for money in las vegas	excellent value for money in las vegas	4	-1	 excellent[3] value[1] for[0] money[0] in[0] las[0] vegas[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Lots of fun	Lots of fun	2	-1	 Lots[0] of[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
The Beds were great!	The Beds were great!	3	-1	 The[0] Beds[0] were[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
The beds were very confortable.	The beds were very confortable.	1	-1	 The[0] beds[0] were[0] very[0] confortable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I really liked its location, and slot machines, the Paradise...	I really liked its location, and slot machines, the Paradise.	4	-1	 I[0] really[0] liked[2][1 LastWordBoosterStrength] its[0] location[0] and[0] slot[0] machines[0] the[0] Paradise[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Excellence - and without a resort fee!	Excellence - and without a resort fee!	4	-1	 Excellence[3] and[0] without[0] a[0] resort[0] fee[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
The free parking at the hotel was great and all the staff...	The free parking at the hotel was great and all the staff.	3	-1	 The[0] free[0] parking[0] at[0] the[0] hotel[0] was[0] great[2] and[0] all[0] the[0] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Good stay	Good stay	2	-1	 Good[1] stay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Valet parking Duncan doughnut	Valet parking Duncan doughnut	1	-1	 Valet[0] parking[0] Duncan[0] doughnut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Nice to stay, but needs to be improved.	Nice to stay, but needs to be improved.	2	-1	 Nice[1] to[0] stay[0] but[0] needs[0] to[0] be[0] improved[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
It was a beautiful hotal	It was a beautiful hotal	3	-1	 It[0] was[0] a[0] beautiful[2] hotal[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great location!	Great location!	3	-1	 Great[2] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Rooms small, air conditioning don't work!	Rooms small, air conditioning don't work!	1	-1	 Rooms[0] small[0] air[0] conditioning[0] don't[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Location and price.	Location and price.	1	-1	 Location[0] and[0] price[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A great part of history that needs minor changes to keep up.	A great part of history that needs minor changes to keep up.	3	-1	 A[0] great[2] part[0] of[0] history[0] that[0] needs[0] minor[0] changes[0] to[0] keep[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Money worth but looking old and noisy	Money worth but looking old and noisy	1	-1	 Money[0] worth[0] but[0] looking[0] old[0] and[0] noisy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Hotel and Staff -- GREAT. Parking: VERY BAD.	Hotel and Staff - GREAT.<br> Parking: VERY BAD.	3	-3	 Hotel[0] and[0] Staff[0] GREAT[2] [[Sentence=-1,3=word max, 1-5]] Parking[0] VERY[0] BAD[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
none	none	1	-1	 none[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
The breakfast buffett was good, the other 2 restaurants were...	The breakfast buffet was good, the other 2 restaurants were.	2	-1	 The[0] breakfast[0] buffett/buffet[0] was[0] good[1] the[0] other[0] 2[0] restaurants[0] were[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
The rooms were very comfortable, clean, and well maintained	The rooms were very comfortable, clean, and well maintained	3	-1	 The[0] rooms[0] were[0] very[0] comfortable[1][1 LastWordBoosterStrength] clean[0] and[0] well[0] maintained[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Stayed here for a week and our stay was great! We will definitely come back again for vacation.	Stayed here for a week and our stay was great!<br> We will definitely come back again for vacation.	3	-1	 Stayed[0] here[0] for[0] a[0] week[0] and[0] our[0] stay[0] was[0] great[2] [[Sentence=-1,3=word max, 1-5]] We[0] will[0] definitely[0] come[0] back[0] again[0] for[0] vacation[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
It was ok.	It was ok.	1	-1	 It[0] was[0] ok[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Room was clean.	Room was clean.	1	-1	 Room[0] was[0] clean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
It was on my bucket list and I wanted to...	It was on my bucket list and I wanted to.	1	-1	 It[0] was[0] on[0] my[0] bucket[0] list[0] and[0] I[0] wanted[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Overall the stay was just okay but way over priced for the accomandations.	Overall the stay was just okay but way over priced for the accomandations.	1	-1	 Overall[0] the[0] stay[0] was[0] just[0] okay[0] but[0] way[0] over[0] priced[0] for[0] the[0] accomandations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Loved It!!!	Loved It!	4	-1	 Loved[3] It[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
cheap buffet with good quality	cheap buffet with good quality	2	-2	 cheap[-1] buffet[0] with[0] good[1] quality[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Easy access to Fremont, hope you like valet parking.	Easy access to Fremont, hope you like valet parking.	3	-1	 Easy[0] access[0] to[0] Fremont[0] hope[2] you[0] like[1] valet[0] parking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
The hotel was very nice, much nicer than The Plaza next door.	The hotel was very nice, much nicer than The Plaza next door.	3	-1	 The[0] hotel[0] was[0] very[0] nice[1][1 LastWordBoosterStrength] much[0] nicer[1] than[0] The[0] Plaza[0] next[0] door[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Excelent location in the freemont Experience.	Excelent location in the freemont Experience.	3	-1	 Excelent[2] location[0] in[0] the[0] freemont[0] Experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
A moment to relax.	A moment to relax.	3	-1	 A[0] moment[0] to[0] relax[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Not bad if you get the right price.	Not bad if you get the right price.	2	-1	 Not[0] bad[-1][NegatedDueToPreviousWord] if[0] you[0] get[0] the[0] right[0] price[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Love the Fremont Hotel	Love the Fremont Hotel	3	-1	 Love[2] the[0] Fremont[0] Hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Horrible	Horrible	1	-4	 Horrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Good hotel at Fremont street.	Good hotel at Fremont street.	2	-1	 Good[1] hotel[0] at[0] Fremont[0] street[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Access to downtown	Access to downtown	1	-1	 Access[0] to[0] downtown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Kool place	Kool place	1	-1	 Kool[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Prime rib meal deal at Roma's	Prime rib meal deal at Roma's	1	-1	 Prime[0] rib[0] meal[0] deal[0] at[0] Roma's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
In all the stay was great.	In all the stay was great.	3	-1	 In[0] all[0] the[0] stay[0] was[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great location and very pleasant	Great location and very pleasant	4	-1	 Great[2] location[0] and[0] very[0] pleasant[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
The Fun Starts At Downtown Las Vegas.	The Fun Starts At Downtown Las Vegas.	2	-1	 The[0] Fun[1] Starts[0] At[0] Downtown[0] Las[0] Vegas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
everything was fine except the band noise until 2 in the morning	everything was fine except the band noise until 2 in the morning	3	-1	 everything[0] was[0] fine[2] except[0] the[0] band[0] noise[0] until[0] 2[0] in[0] the[0] morning[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Fremont, not a bad option	Fremont, not a bad option	2	-1	 Fremont[0] not[0] a[0] bad[-1][NegatedDueToPreviousWord] option[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Ease of conveniece to everything I needed	Ease of conveniece to everything I needed	1	-1	 Ease[0] of[0] conveniece[0] to[0] everything[0] I[0] needed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Everything very nice room food service	Everything very nice room food service	3	-1	 Everything[0] very[0] nice[1][1 LastWordBoosterStrength] room[0] food[0] service[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
good experience at a Main Street	good experience at a Main Street	2	-1	 good[1] experience[0] at[0] a[0] Main[0] Street[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Location	Location	1	-1	 Location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
The hotel is really beautiful!	The hotel is really beautiful!	4	-1	 The[0] hotel[0] is[0] really[0] beautiful[2][1 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
always a good value at the Main Street Casino	always a good value at the Main Street Casino	2	-1	 always[0] a[0] good[1] value[1] at[0] the[0] Main[0] Street[0] Casino[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
very nice restored hotel.	very nice restored hotel.	3	-1	 very[0] nice[1][1 LastWordBoosterStrength] restored[0] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
OK	OK	1	-1	 OK[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
The room was nice and clean, bed was very comfy.	The room was nice and clean, bed was very comfy.	2	-1	 The[0] room[0] was[0] nice[1] and[0] clean[0] bed[0] was[0] very[0] comfy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Convenient location.	Convenient location.	1	-1	 Convenient[0] location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Hassle checking in confirmation email lost by bookings or...	Hassle checking in confirmation email lost by bookings or.	1	-2	 Hassle[-1] checking[0] in[0] confirmation[0] email[0] lost[0] by[0] bookings[0] or[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not happy	not happy	1	-2	 not[0] happy[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Location and staff were awesome.	Location and staff were awesome.	3	-1	 Location[0] and[0] staff[0] were[0] awesome[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nice place to stay in vegas	nice place to stay in vegas	2	-1	 nice[1] place[0] to[0] stay[0] in[0] vegas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
really you only stay in your room to sleep and it was great	really you only stay in your room to sleep and it was great	3	-1	 really[0] you[0] only[0] stay[0] in[0] your[0] room[0] to[0] sleep[0] and[0] it[0] was[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Perfect location and best staff from top to bottom!	Perfect location and best staff from top to bottom!	2	-1	 Perfect[1] location[0] and[0] best[1] staff[0] from[0] top[0] to[0] bottom[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great downtown location	Great downtown location	3	-1	 Great[2] downtown[0] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Location	Location	1	-1	 Location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes	yes	1	-1	 yes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Not crowded	Not crowded	1	-1	 Not[0] crowded[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wouldnt stay there again	wouldnt stay there again	1	-1	 wouldnt[0] stay[0] there[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Something new	Something new	1	-1	 Something[0] new[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
It was clean and close to everything!	It was clean and close to everything!	1	-1	 It[0] was[0] clean[0] and[0] close[0] to[0] everything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Won't book again but will eat there	Won't book again but will eat there	1	-1	 Won't[0] book[0] again[0] but[0] will[0] eat[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Not worth the price	Not worth the price	1	-1	 Not[0] worth[0] the[0] price[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great location and price was right	Great location and price was right	3	-1	 Great[2] location[0] and[0] price[0] was[0] right[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
I want to go back!	I want to go back!	1	-1	 I[0] want[0] to[0] go[0] back[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Take a gamble	Take a gamble	1	-2	 Take[0] a[0] gamble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Location	Location	1	-1	 Location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Small room and a nasty bathroom	Small room and a nasty bathroom	1	-3	 Small[0] room[0] and[0] a[0] nasty[-2] bathroom[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
